,Fruit,Full filename,File
12404,Cherry Wax Black,./data/fruits/fruits-360/Training/Cherry Wax Black/270_100.jpg,270_100.jpg
25693,Mandarine,./data/fruits/fruits-360/Training/Mandarine/r_136_100.jpg,r_136_100.jpg
21927,Huckleberry,./data/fruits/fruits-360/Training/Huckleberry/r_277_100.jpg,r_277_100.jpg
41776,Redcurrant,./data/fruits/fruits-360/Training/Redcurrant/r_147_100.jpg,r_147_100.jpg
28165,Mulberry,./data/fruits/fruits-360/Training/Mulberry/85_100.jpg,85_100.jpg
18740,Grape White 3,./data/fruits/fruits-360/Training/Grape White 3/254_100.jpg,254_100.jpg
37933,Plum 2,./data/fruits/fruits-360/Training/Plum 2/35_100.jpg,35_100.jpg
9996,Carambula,./data/fruits/fruits-360/Training/Carambula/309_100.jpg,309_100.jpg
15290,Dates,./data/fruits/fruits-360/Training/Dates/226_100.jpg,226_100.jpg
18656,Grape White 3,./data/fruits/fruits-360/Training/Grape White 3/174_100.jpg,174_100.jpg
20463,Grapefruit White,./data/fruits/fruits-360/Training/Grapefruit White/r_220_100.jpg,r_220_100.jpg
40214,Quince,./data/fruits/fruits-360/Training/Quince/49_100.jpg,49_100.jpg
31484,Peach 2,./data/fruits/fruits-360/Training/Peach 2/r_238_100.jpg,r_238_100.jpg
28731,Nectarine,./data/fruits/fruits-360/Training/Nectarine/r_152_100.jpg,r_152_100.jpg
28991,Orange,./data/fruits/fruits-360/Training/Orange/165_100.jpg,165_100.jpg
23555,Lemon,./data/fruits/fruits-360/Training/Lemon/181_100.jpg,181_100.jpg
30988,Peach 2,./data/fruits/fruits-360/Training/Peach 2/259_100.jpg,259_100.jpg
19941,Grapefruit Pink,./data/fruits/fruits-360/Training/Grapefruit Pink/r_241_100.jpg,r_241_100.jpg
5089,Apple Red Yellow 2,./data/fruits/fruits-360/Training/Apple Red Yellow 2/r2_118_100.jpg,r2_118_100.jpg
15285,Dates,./data/fruits/fruits-360/Training/Dates/221_100.jpg,221_100.jpg
38801,Plum 3,./data/fruits/fruits-360/Training/Plum 3/r3_46_100.jpg,r3_46_100.jpg
38710,Plum 3,./data/fruits/fruits-360/Training/Plum 3/r3_204_100.jpg,r3_204_100.jpg
11198,Cherry 2,./data/fruits/fruits-360/Training/Cherry 2/r2_226_100.jpg,r2_226_100.jpg
20787,Guava,./data/fruits/fruits-360/Training/Guava/306_100.jpg,306_100.jpg
46938,Tomato 4,./data/fruits/fruits-360/Training/Tomato 4/259_100.jpg,259_100.jpg
26940,Maracuja,./data/fruits/fruits-360/Training/Maracuja/85_100.jpg,85_100.jpg
17597,Grape Pink,./data/fruits/fruits-360/Training/Grape Pink/r_274_100.jpg,r_274_100.jpg
41854,Redcurrant,./data/fruits/fruits-360/Training/Redcurrant/r_230_100.jpg,r_230_100.jpg
8406,Cactus fruit,./data/fruits/fruits-360/Training/Cactus fruit/145_100.jpg,145_100.jpg
1264,Apple Golden 2,./data/fruits/fruits-360/Training/Apple Golden 2/r_130_100.jpg,r_130_100.jpg
7433,Banana Lady Finger,./data/fruits/fruits-360/Training/Banana Lady Finger/115_100.jpg,115_100.jpg
29691,Papaya,./data/fruits/fruits-360/Training/Papaya/r_142_100.jpg,r_142_100.jpg
33379,Pear Kaiser,./data/fruits/fruits-360/Training/Pear Kaiser/r_90_100.jpg,r_90_100.jpg
20316,Grapefruit White,./data/fruits/fruits-360/Training/Grapefruit White/30_100.jpg,30_100.jpg
12152,Cherry Rainier,./data/fruits/fruits-360/Training/Cherry Rainier/r_206_100.jpg,r_206_100.jpg
28975,Orange,./data/fruits/fruits-360/Training/Orange/150_100.jpg,150_100.jpg
39432,Pomegranate,./data/fruits/fruits-360/Training/Pomegranate/r_214_100.jpg,r_214_100.jpg
5337,Apple Red Yellow 2,./data/fruits/fruits-360/Training/Apple Red Yellow 2/r_141_100.jpg,r_141_100.jpg
46148,Tomato 3,./data/fruits/fruits-360/Training/Tomato 3/158_100.jpg,158_100.jpg
